1995 FLEER ULTRA GOLD MEDALLION DOUBLE TROUBLE MICHAEL JORDAN #3,"$3,800",PSA 10,
1995 Topps Power Boosters Michael Jordan #277,"$4,000",PSA 10,
1995-1996 Fleer Ultra Michael Jordan Scoring Kings ,"$1,000",n/a,
1995 Topps Spark Plugs #SP2 Michael Jordan,"$6,000",PSA 10,
1993-94 Topps Finest Basketball Refractor #200 Charles Barkley,$399,n/a,
1996 Topps Chrome Pro Files Michael Jordan #PF-3,$860,PSA 10,
1995 Ultra Jam City Michael Jordan #3,"$2,950",PSA 9,
1996-97 NBA Hoops Head 2 Scottie Pippen Michael Jordan #HH2,$150,PSA 9,
1996 Hoops Michael Jordan Card #335 PSA Mint 9,$284,PSA 9,
1993 Stadium Club Beam Team #4 Michael Jordan ,$799,PSA 9,
96-97 FLEER MICHAEL JORDAN STACKHOUSE'S ALL FLEER,$99,MINT 9,
1995-96 Fleer Metal Card #13 Michael Jordan Silver Spotlight,$499,PSA 9,
1993-94 Ultra Scoring Kings Michael Jordan #5,"$20,000",BGS 9.5,
1996 Skybox Z Force Z-FORCE MICHAEL JORDAN #179,$450,BGS 9.5,
MICHAEL JORDAN 1996 TOPPS STADIUM CLUB #101 ,$480,PSA 10,
MICHAEL JORDAN 1995 SKYBOX NBA HOOPS #AR7 TOP 10 HOLOFOIL INSERT,$800,BGS 9.5,
1995 NBA Hoops #358 - MICHAEL JORDAN,$40,GMA 9,
MICHAEL JORDAN 1996 FLEER METAL # 11 ,$700,PSA 10,
Michael Jordan 1993 Fleer League Leader #224,$300,PSA 10,
MICHAEL JORDAN 1994 UPPER DECK HEROES #45 ,$800,PSA 10,
1996 ULTRA #P280 MICHAEL JORDAN PLATINUM MEDALLION STEP IT UP ,"$3,000",PSA 8,
MICHAEL JORDAN 1996 BOWMAN’S BEST #80 REFRACTOR,"$2,000",BGS 8.5,
1996 Bowman's Best MICHAEL JORDAN #80 ,$670,PSA 10,
1996 SkyBox Premium 16 MICHAEL JORDAN,"$1,499",PSA 10,
1993 HOOPS FACE-TO-FACE FOIL MICHAEL JORDAN #FTF10,$190,PSA 9,
Michael Jordan 1993 Fleer Ultra Inside/Outside #4,$550,BCCG 9,
1993 Fleer Ultra # 30 Michael Jordan,$500,PSA 10,
1995 Collector’s Choice Int. #195 * GERMAN I * Michael Jordan,$437,PSA 10,
1995 Upper Deck CC MICHAEL JORDAN PLATINUM PLAYERS CLUB #45 ,$400,PSA 7,
1995 SKYBOX PREMIUM TRUE ERROR CARD MICHAEL JORDAN #15,$968,PSA 10,
Michael Jordan Card 1993 Upper Deck East All-Star Weekend #425,$79,n/a,
1994 - 1995 Upper Deck SP Championship Die Cut Michael Jordan Bulls #4 ,$250,n.a,
1987 Fleer Sticker Michael Jordan #2,"$16,050",PSA 9,
Michael Jordan PSA 7 Collector Card 1991 NBA Hoops #253,$175,PSA 7,
"1996 Upper Deck Space Jam ""Jordan Lends A Hand"" #60 ","$2,000",PSA 10,
Michael Jordan 1996 Upper Deck 34,$375,BGS 9.5,
Michael Jordan 1996 Upper Deck 34,$375,BGS 9.5,
Michael Jordan 1996 Upper Deck 34,$375,BGS 9.5,
"1996 Upper Deck Space Jam ""Jordan Lends A Hand"" #60 ","$2,000",PSA 10,
Michael Jordan 1997-98 Upper Deck Italian Mini Sticker 205,$350,SGC 9,
1998 Upper Deck Michael Jordan Sticker Collection 15 Shoes 94-95,"$3,599",SGC 10,
Michael Jordan 1992 Skybox NBA Hoops All-Star Weekend #298,$250,PSA 10,
1992 Upper Deck #23 Michael Jordan,$600,PSA 10,
1993 UPPER DECK #510 MICHAEL JORDAN & LARRY BIRD FANIMATION,$399,n/a,
Topps Card LAST DANCE MJ Card 1996 #1 NR,"$1,500",SGC 9.5,
Michael Jordan 98 UD Sticker Collection #133,$800,BGS 10,
1992 Skybox USA Michael Jordan #43,$60,PSA 9,
Michael Jordan MJ P2 Playoff Heroes Guard 1994-95 U D SP Champions,$160,SGC 9.5,
Michael Jordan MJ P2 Playoff Heroes Guard 1994-95 U D SP Champions,$160,SGC 9.5,
1993 Upper Deck MICHAEL JORDAN #237,$280,PSA 9,
1996 UPPER DECK U.S.A OLYMPICARD REFLECTIONS OF GOLD RG1,$130,PSA 8.5,
1995 UPPER DECK RETURN-OF-EXCELLENCE MICHAEL JORDAN #335,$75,PSA 9,
1995 Upper Deck Electric Court Gold Michael Jordan #339,"$3,000",PSA 10,
1995-96 Upper Deck Michael Jordan Q Latifah #341 ELECTRIC COURT,$450,BGS 9.5,
1995-96 Upper Deck Michael Jordan Q Latifah #341 ELECTRIC COURT,$450,BGS 9.5,
1996 Coll. Choice Michael Jordan A Cut Above,$420,PSA 9,
1998 Upper Deck MJ Sticker Collection Michael Jordan #136,$700,BGS 9.5,
MICHAEL JORDAN 1998 UPPER DECK STICKER COLLECTION MJ # 25,$299,BGS 9.5,
MICHAEL JORDAN 1998 UPPER DECK STICKER COLLECTION # 92 ,$299,BGS 9.5,
1995 SP CHAMPIONSHIP SHOTS Die-Cut SILVER #S16 Michael Jordan,"$1,000",PSA 10,
Michael Jordan Jersey 1996-97 UD Collector's Choice A Cut Above #CA10,$195,BGS 8,
Michael Jordan 1996-97 A Cut Above CA5,$139,BGS 8.5,
1996 Collector's Choice A Cut Above Michael Jordan #CA4,$99,BGS 8.5,
Michael Jordan 1996-97 UD Collector's Choice A Cut Above Die-Cut #CA2 ,$100,PSA 9,
1996 Upper Deck Michael Jordan A Cut Above! Card #CA3 ,$100,GEM 10,
1992 Skybox USA MICHAEL JORDAN Chicago Bulls card #40,$349,PSA 10,
1992 Skybox USA Michael Jordan #39,$338,PSA 10,
Michael Jordan 1996 Collectors Choice #23,$647,PSA 10,
1995-96 Upper Deck Electric Court #337 Michael Jordan ,$90,PSA 9,
1995 Upper Deck MICHAEL JORDAN 352 Electric Court,$128,PSA 8,
MICHAEL JORDAN UPPER DECK 1993-94 FINALS #204,$125,CSG 9,
Michael Jordan 96-97 Fleer Ultra #16,$20,n/a,
1996 Upper Deck Michael Jordan #121,$95,MINT 9,
1996 Upperdeck Collectors Choice Sticker Michael Jordan #S30,$600,PSA 10,
MICHAEL JORDAN 1994 Upper Deck 1993 He's Back Reprint 23,$599,PSA 10,
1994 SP SILVER #MJ1 MICHAEL JORDAN HE'S BACK,$350,PSA 9,
Michael Jordan 1996 Collectors Choice #23,$647,PSA 10,
Chicago Bulls 1996 topps commemorative #72,$499,PSA  10,
1996-97 Topps NBA 50th Bulls Commemorative #72 Shiny,$500,PSA 9,
1996-97 Upper Deck SPX Force MICHAEL JORDAN Hardaway Kemp Stoudamire,$450,n/a,
1996-97 Collector’s Choice Mini-Cards M11 Michael Jordan/Hardaway/Kemp,$350,BGS 8,
1993 - 1994 Fleer Ultra Famous Nicknames Michael Jordan Chicago Bulls #7.,$50,n/a,
92-93 FLEER ULTRA MICHAEL JORDAN #4,$199,BGS 9,
1993-94 Upper Deck Chicago Bulls Team Michael Jordan #213 ,$174,PSA 9,
1993-94 Hoops League Leaders Michael Jordan /Malone/Wilkins #283,$499,BGS 9.5,
1993-94 NBA Hoops League Leaders Steals #289 Stockton Jordan,$50,SGC 8.5,
MICHAEL JORDAN 1992 UPPER DECK #488 GAME FACE CARD,$300,BGS 9.5,
1993 Fleer MICHAEL JORDAN Sharpshooter Sharp Shooter #3 ,$530,PSA 10,
Michael Jordan 1993-94 #199 Reigning Playoff MVP,$200,SGC 10,
 MICHAEL JORDAN 1993-94 Stadium Club Members Only #1,$500,PSA 10,
1992-93 Upper Deck Michael Jordan Jerry West Selects #JW9 ,$40,BCCG 9,
1993 Fleer NBA Superstars Michael Jordan #7,$800,PSA 10,
1991-92 SKYBOX MICHAEL JORDAN FINALS #334,$379,SGC 9.5,
Michael Jordan MINT NBA HOOPS #382 Chicago Bull INVEST Last Dance,$249,PSA 9,
1991 Skybox #337 Bulls Starting Five with Michael Jordan,$200,PSA 8.5,
1992-93 NBA Hoops Michael Jordan Karl Malone #320 ,$80,PSA 8,
1992 Hoops #269 Chicago Bulls W/ MICHAEL JORDAN Graded,$49,GMA 10,
1993-94 NBA Hoops Michael Jordan Supreme Court #SC11 ,$25,n/a,
